"","1","2","3","4","5","6","7","8","9","10"
"radio",1,0,1,0,1,0,0,1,1,0
"rally",3,0,0,0,0,7,0,0,0,0
"read",2,2,0,2,2,2,1,0,0,1
"read:",1,0,0,0,0,0,0,0,0,0
"reading:",1,0,0,0,0,0,0,0,0,0
"reality",1,0,0,0,0,0,0,0,0,0
"rebellion",3,0,0,0,0,0,0,0,0,0
"recipes",1,0,0,0,1,0,0,1,1,0
"recognized",1,0,0,2,2,4,1,0,0,1
"reconstruction,",1,0,0,0,0,0,0,0,0,0
"redbrick",1,0,0,0,0,0,0,0,0,0
"refusing",1,0,0,0,0,0,0,0,0,0
"regime.",1,0,0,0,0,0,0,0,0,1
"region",1,1,0,0,0,0,0,0,0,0
"region.",1,0,0,0,0,0,0,0,0,0
"reminders",1,0,0,0,0,0,0,0,0,0
"replies",1,0,0,0,1,0,0,1,1,0
"reporting",1,0,0,0,1,0,0,0,0,0
"reserved.",1,1,0,1,1,0,0,1,1,0
"residents",2,0,0,0,0,0,0,0,0,0
"resources.",1,0,0,0,0,0,0,0,0,0
"responded",1,0,0,0,0,0,0,0,0,1
"retired",1,0,0,0,0,0,0,0,1,0
"reuse",1,0,0,0,1,0,0,0,1,0
"revolt.",1,0,0,0,0,0,0,0,0,0
"revolution",1,0,0,0,0,0,0,0,2,0
"rich",1,0,0,0,0,0,0,0,0,0
"riches",2,0,0,0,0,0,0,0,0,0
"rights",1,1,0,1,1,0,3,1,1,1
"robayo/afp/getty",1,0,0,0,0,0,0,0,0,0
"rose",1,0,0,0,0,0,0,0,0,0
"rugby",1,0,0,0,1,2,2,1,1,2
"said",8,0,0,5,3,6,2,0,8,8
"said.",2,0,0,5,1,5,1,0,3,1
"saw",1,0,0,0,0,0,0,0,0,0
"science",1,0,0,2,1,0,0,1,1,0
"search",5,0,0,0,5,0,0,5,5,0
"second-in-command,",1,0,0,0,0,0,0,0,0,0
"secure",1,0,0,0,1,1,0,1,1,0
"seeking",1,0,0,0,0,0,0,0,0,0
